Cidades,Aracaju,Belem,BeloHorizonte,BoaVista,Brasilia,CampoGrande,Cuiaba,Curitiba,Florianopolis,Fortaleza,Goiania,JoaoPessoa,Macapa,Maceio,Manaus,Natal,Palmas,PortoAlegre,PortoVelho,Recife,RioBranco,RioDeJaneiro,Salvador,SaoLuis,SaoPaulo,Teresina,Vitoria
Aracaju,0,1.641,1.248,3.022,1.292,2.155,2.121,2.061,2.207,815,1.461,486,1.967,201,2.673,604,1.235,2.580,2.946,398,3.359,1.482,277,1.226,1.731,903,1.102
Belem,1.641,0,2.111,1.432,1.592,2.212,1.778,2.665,2.904,1.133,1.693,1.636,329,1.680,1.292,1.550,973,3.188,1.886,1.676,2.333,2.450,1.687,481,2.463,750,2.275
BeloHorizonte,1.248,2.111,0,3.117,624,1.118,1.372,820,973,1.893,666,1.726,2.349,1.439,2.556,1.831,1.178,1.341,2.477,1.639,2.786,339,964,1.932,489,1.652,378
BoaVista,3.022,1.432,3.117,0,2.496,2.667,2.107,3.370,3.620,2.562,2.503,3.067,1.110,3.089,661,2.983,1.988,3.785,1.335,3.103,1.626,3.428,3.009,1.913,3.300,2.169,3.394
Brasilia,1.292,1.592,624,2.496,0,878,873,1.081,1.314,1.687,173,1.716,1.791,1.485,1.932,1.775,620,1.619,1.900,1.657,2.246,933,1.060,1.524,873,1.313,947
CampoGrande,2.155,2.212,1.118,2.667,878,0,559,780,1.007,2.547,705,2.593,2.309,2.352,2.013,2.654,1.320,1.119,1.634,2.530,1.827,1.212,1.905,2.284,894,2.132,1.490
Cuiaba,2.121,1.778,1.372,2.107,873,559,0,1.302,1.543,2.329,740,2.495,1.822,2.302,1.453,2.524,1.029,1.679,1.137,2.452,1.414,1.575,1.915,1.942,1.326,1.862,1.745
Curitiba,2.061,2.665,820,3.370,1.081,780,1.302,0,251,2.670,972,2.545,2.836,2.259,2.734,2.645,1.693,546,2.412,2.459,2.601,675,1.784,2.599,338,2.362,1.076
Florianopolis,2.207,2.904,973,3.620,1.314,1.007,1.543,251,0,2.857,1.215,2.693,3.082,2.402,2.981,2.802,1.931,376,2.641,2.603,2.809,748,1.930,2.821,489,2.573,1.160
Fortaleza,815,1.133,1.893,2.562,1.687,2.547,2.329,2.670,2.857,0,1.854,555,1.451,730,2.383,435,1.300,3.213,2.855,629,3.300,2.190,1.028,652,2.368,495,1.855
Goiania,1.461,1.693,666,2.503,173,705,740,972,1.215,1.854,0,1.889,1.868,1.656,1.912,1.948,724,1.497,1.813,1.829,2.138,936,1.225,1.662,810,1.467,1.022
JoaoPessoa,486,1.636,1.726,3.067,1.716,2.593,2.495,2.545,2.693,555,1.889,0,1.964,299,2.819,151,1.521,3.066,3.200,104,3.632,1.968,763,1.162,2.216,905,1.581
Macapa,1.967,329,2.349,1.110,1.791,2.309,1.822,2.836,3.082,1.451,1.868,1.964,0,2.009,1.054,1.874,1.177,3.341,1.724,2.005,2.159,2.687,2.000,803,2.664,1.079,2.545
Maceio,201,1.680,1.439,3.089,1.485,2.352,2.302,2.259,2.402,730,1.656,299,2.009,0,2.778,434,1.383,2.775,3.090,202,3.510,1.671,475,1.234,1.928,929,1.282
Manaus,2.673,1.292,2.556,661,1.932,2.013,1.453,2.734,2.981,2.383,1.912,2.819,1.054,2.778,0,2.765,1.509,3.132,761,2.833,1.149,2.849,2.605,1.746,2.689,1.921,2.865
Natal,604,1.550,1.831,2.983,1.775,2.654,2.524,2.645,2.802,435,1.948,151,1.874,434,2.765,0,1.527,3.172,3.179,253,3.616,2.085,875,1.071,2.320,843,1.706
Palmas,1.235,973,1.178,1.988,620,1.320,1.029,1.693,1.931,1.300,724,1.521,1.177,1.383,1.509,1.527,0,2.222,1.711,1.498,2.127,1.512,1.114,964,1.493,835,1.413
PortoAlegre,2.580,3.188,1.341,3.785,1.619,1.119,1.679,546,376,3.213,1.497,3.066,3.341,2.775,3.132,3.172,2.222,0,2.706,2.977,2.814,1.123,2.303,3.142,852,2.909,1.536
PortoVelho,2.946,1.886,2.477,1.335,1.900,1.634,1.137,2.412,2.641,2.855,1.813,3.200,1.724,3.090,761,3.179,1.711,2.706,0,3.190,449,2.707,2.808,2.274,2.463,2.362,2.835
Recife,398,1.676,1.639,3.103,1.657,2.530,2.452,2.459,2.603,629,1.829,104,2.005,202,2.833,253,1.498,2.977,3.190,0,3.618,1.874,675,1.209,2.128,934,1.483
RioBranco,3.359,2.333,2.786,1.626,2.246,1.827,1.414,2.601,2.809,3.300,2.138,3.632,2.159,3.510,1.149,3.616,2.127,2.814,449,3.618,0,2.982,3.206,2.726,2.704,2.806,3.156
RioDeJaneiro,1.482,2.450,339,3.428,933,1.212,1.575,675,748,2.190,936,1.968,2.687,1.671,2.849,2.085,1.512,1.123,2.707,1.874,2.982,0,1.209,2.266,357,1.979,412
Salvador,277,1.687,964,3.009,1.060,1.905,1.915,1.784,1.930,1.028,1.225,763,2.000,475,2.605,875,1.114,2.303,2.808,675,3.206,1.209,0,1.323,1.453,994,839
SaoLuis,1.226,481,1.932,1.913,1.524,2.284,1.942,2.599,2.821,652,1.662,1.162,803,1.234,1.746,1.071,964,3.142,2.274,1.209,2.726,2.266,1.323,0,2.348,329,2.023
SaoPaulo,1.731,2.463,489,3.300,873,894,1.326,338,489,2.368,810,2.216,2.664,1.928,2.689,2.320,1.493,852,2.463,2.128,2.704,357,1.453,2.348,0,2.091,741
Teresina,903,750,1.652,2.169,1.313,2.132,1.862,2.362,2.573,495,1.467,905,1.079,929,1.921,843,835,2.909,2.362,934,2.806,1.979,994,329,2.091,0,1.713
Vitoria,1.102,2.275,378,3.394,947,1.490,1.745,1.076,1.160,1.855,1.022,1.581,2.545,1.282,2.865,1.706,1.413,1.536,2.835,1.483,3.156,412,839,2.023,741,1.713,0